"img1","img2","similarity"
"beach0.jpg","beach16.jpg",NA
"beach0.jpg","beach10.jpg",0
"beach14.jpg","beach3.jpg",0
"beach14.jpg","beach2.jpg",0
"beach14.jpg","beach13.jpg",0
"beach14.jpg","beach20.jpg",0
"beach14.jpg","beach5.jpg",NA
"beach14.jpg","beach7.jpg",0
"beach14.jpg","beach8.jpg",1
"beach14.jpg","beach4.jpg",0
"beach14.jpg","beach11.jpg",0.5
"beach14.jpg","beach6.jpg",0
"beach14.jpg","beach9.jpg",1
"beach14.jpg","beach18.jpg",0
"beach14.jpg","beach19.jpg",0
"beach14.jpg","beach17.jpg",0.666666666666667
"beach14.jpg","beach15.jpg",0
"beach14.jpg","beach22.jpg",0
"beach14.jpg","beach12.jpg",0.333333333333333
"beach14.jpg","beach1.jpg",1
"beach14.jpg","beach0.jpg",0
"beach14.jpg","beach21.jpg",NA
"beach14.jpg","beach23.jpg",0
"beach14.jpg","beach16.jpg",0
"beach14.jpg","beach10.jpg",0.333333333333333
"beach21.jpg","beach3.jpg",0.5
"beach21.jpg","beach2.jpg",0
"beach21.jpg","beach13.jpg",0
"beach21.jpg","beach20.jpg",0
"beach21.jpg","beach5.jpg",0
"beach21.jpg","beach7.jpg",0
"beach21.jpg","beach8.jpg",0.8
"beach21.jpg","beach4.jpg",0.666666666666667
"beach21.jpg","beach11.jpg",0.6
"beach21.jpg","beach6.jpg",0
"beach21.jpg","beach9.jpg",1
"beach21.jpg","beach18.jpg",0
"beach21.jpg","beach19.jpg",0.25
"beach21.jpg","beach17.jpg",0.333333333333333
"beach21.jpg","beach15.jpg",0
"beach21.jpg","beach22.jpg",NA
"beach21.jpg","beach12.jpg",0.5
"beach21.jpg","beach1.jpg",0.333333333333333
"beach21.jpg","beach0.jpg",0
"beach21.jpg","beach14.jpg",NA
"beach21.jpg","beach23.jpg",0.333333333333333
"beach21.jpg","beach16.jpg",0
"beach21.jpg","beach10.jpg",1
"beach23.jpg","beach3.jpg",0.75
"beach23.jpg","beach2.jpg",0
"beach23.jpg","beach13.jpg",0
"beach23.jpg","beach20.jpg",NA
"beach23.jpg","beach5.jpg",0.5
"beach23.jpg","beach7.jpg",0
"beach23.jpg","beach8.jpg",0.333333333333333
"beach23.jpg","beach4.jpg",0.25
"beach23.jpg","beach11.jpg",1
"beach23.jpg","beach6.jpg",0
"beach23.jpg","beach9.jpg",NA
"beach23.jpg","beach18.jpg",0
"beach23.jpg","beach19.jpg",0
"beach23.jpg","beach17.jpg",0
"beach23.jpg","beach15.jpg",0
"beach23.jpg","beach22.jpg",0
"beach23.jpg","beach12.jpg",0
"beach23.jpg","beach1.jpg",0
"beach23.jpg","beach0.jpg",0
"beach23.jpg","beach14.jpg",0
"beach23.jpg","beach21.jpg",0.333333333333333
"beach23.jpg","beach16.jpg",0
"beach23.jpg","beach10.jpg",0.5
"beach16.jpg","beach3.jpg",0
"beach16.jpg","beach2.jpg",1
